GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AAS001,AAU001,AAV001,AAY001,AAY002
"G0900010","1800","Connecticut","090","Fairfield","0010","Fairfield","1","10",38208,38208,0,957,276
"G0900030","1800","Connecticut","090","Hartford","0030","Hartford","1","30",42147,42147,3523,743,67
"G0900050","1800","Connecticut","090","Litchfield","0050","Litchfield","1","50",41214,41214,0,656,47
"G0900070","1800","Connecticut","090","Middlesex","0070","Middlesex","1","70",19847,19847,0,251,72
"G0900090","1800","Connecticut","090","New Haven","0090","New Haven","1","90",32162,32162,4049,650,236
"G0900110","1800","Connecticut","090","New London","0110","New London","1","110",34883,34883,5150,1236,209
"G0900130","1800","Connecticut","090","Tolland","0130","Tolland","1","130",14319,14319,0,203,9
"G0900150","1800","Connecticut","090","Windham","0150","Windham","1","150",28222,28222,0,634,35
"G1000010","1800","Delaware","100","Kent","0010","Kent","11","10",19554,19554,0,4246,1485
"G1000030","1800","Delaware","100","New Castle","0030","New Castle","11","30",25361,25361,0,2754,1838
"G1000050","1800","Delaware","100","Sussex","0050","Sussex","11","50",19358,19358,0,1268,2830
"G1100015","1800","District Of Columbia","110","District of Columbia (old)","0015","District of Columbia (old)","40","5100",4971,4971,4971,369,875
"G1300290","1800","Georgia","130","Bryan","0290","Bryan","44","290",2836,2836,0,2,2306
"G1300310","1800","Georgia","130","Bulloch","0310","Bulloch","44","310",1913,1913,0,15,269
"G1300330","1800","Georgia","130","Burke","0330","Burke","44","330",9504,9504,0,14,2967
"G1300390","1800","Georgia","130","Camden","0390","Camden","44","390",1681,1681,0,10,735
"G1300510","1800","Georgia","130","Chatham","0510","Chatham","44","510",12946,12946,5146,224,9049
"G1300730","1800","Georgia","130","Columbia","0730","Columbia","44","730",8345,8345,0,16,3008
"G1301030","1800","Georgia","130","Effingham","1030","Effingham","44","1030",2072,2072,0,0,762
"G1301050","1800","Georgia","130","Elbert","1050","Elbert","44","1050",10094,10094,0,23,2816
"G1301190","1800","Georgia","130","Franklin","1190","Franklin","44","1190",6859,6859,0,8,959
"G1301270","1800","Georgia","130","Glynn","1270","Glynn","44","1270",1874,1874,0,3,1092
"G1301330","1800","Georgia","130","Greene","1330","Greene","44","1330",10761,10761,0,7,3657
"G1301410","1800","Georgia","130","Hancock","1410","Hancock","44","1410",14456,14456,0,16,4835
